date	symbol	interval	open	high	low	close	adjusted_close	volume
2023-11-11	BTC-USD.CC	d	37310.070760187	37407.093275135	36773.666456411	37138.050540895	37138.050540895	13924272142
2023-11-12	BTC-USD.CC	d	37133.990884659	37227.69255774	36779.116534263	37054.52014291	37054.52014291	11545715999
2023-11-13	BTC-USD.CC	d	37070.305871304	37405.115299505	36399.605111349	36502.357337328	36502.357337328	19057712790
2023-11-14	BTC-USD.CC	d	36491.787577554	36753.352187624	34948.500276145	35537.640515525	35537.640515525	23857403554
2023-11-15	BTC-USD.CC	d	35548.11279337	37964.892832315	35383.780966893	37880.583172431	37880.583172431	27365821679
2023-11-16	BTC-USD.CC	d	37879.979937037	37934.625198059	35545.473342881	36154.769241368	36154.769241368	26007385366
2023-11-17	BTC-USD.CC	d	36164.823604233	36704.482803739	35901.235563027	36596.681923121	36596.681923121	22445028430
2023-11-18	BTC-USD.CC	d	36625.37147633	36839.282868512	36233.311731251	36585.702929864	36585.702929864	11886022717
2023-11-19	BTC-USD.CC	d	36585.765699418	37509.356259878	36414.598276	37386.547774872	37386.547774872	12915986553
2023-11-20	BTC-USD.CC	d	37374.074684702	37756.819289241	36882.531981289	37476.955859288	37476.955859288	20888209068
2023-11-21	BTC-USD.CC	d	37469.159707143	37631.139641793	35813.81136363	35813.81136363	35813.81136363	25172163756
2023-11-22	BTC-USD.CC	d	35756.553257739	37856.979911772	35670.971877519	37432.338306723	37432.338306723	24397247860
2023-11-23	BTC-USD.CC	d	37420.43387557	37643.918419055	36923.864363808	37289.620660629	37289.620660629	14214948217
2023-11-24	BTC-USD.CC	d	37296.316833016	38415.338198238	37261.606050221	37720.28115214	37720.28115214	22922957823
2023-11-25	BTC-USD.CC	d	37721.413447935	37892.429965574	37617.416834631	37796.792344848	37796.792344848	9099571165
2023-11-26	BTC-USD.CC	d	37796.828864337	37820.301342464	37162.749153517	37479.122293662	37479.122293662	13744796068
2023-11-27	BTC-USD.CC	d	37454.191955258	37559.354550347	36750.127104535	37254.168854249	37254.168854249	19002925720
2023-11-28	BTC-USD.CC	d	37247.991174824	38368.479954865	36891.089361989	37831.08686845	37831.08686845	21696137014
2023-11-29	BTC-USD.CC	d	37826.105521743	38366.112996583	37612.631623358	37858.494054825	37858.494054825	20728546658
2023-11-30	BTC-USD.CC	d	37861.118882704	38141.753547202	37531.141628548	37712.747771633	37712.747771633	18115982627
2023-12-01	BTC-USD.CC	d	37718.00962645	38954.110426771	37629.358912049	38688.748361191	38688.748361191	23512784002
2023-12-02	BTC-USD.CC	d	38689.278617168	39678.937286601	38652.595676218	39476.333280372	39476.333280372	15534035612
2023-12-03	BTC-USD.CC	d	39472.207471172	40135.604896909	39298.165523664	39978.391816545	39978.391816545	15769696322
2023-12-04	BTC-USD.CC	d	39978.628647795	42371.749440589	39978.628647795	41980.099479768	41980.099479768	39856129827
2023-12-05	BTC-USD.CC	d	41986.264347015	44408.665735093	41421.147385276	44080.647951063	44080.647951063	36312154535
2023-12-06	BTC-USD.CC	d	44080.024250187	44265.770402622	43478.081315942	43746.445357259	43746.445357259	29909761586
2023-12-07	BTC-USD.CC	d	43769.131074246	44042.588024025	42880.650128739	43292.664239208	43292.664239208	27635760671
2023-12-08	BTC-USD.CC	d	43293.134947396	44705.515009418	43125.295103504	44166.600638182	44166.600638182	24421116687
2023-12-09	BTC-USD.CC	d	44180.020943136	44361.257350155	43627.59718039	43725.985812431	43725.985812431	17368210171
2023-12-10	BTC-USD.CC	d	43728.383480091	44034.624968777	43593.283795306	43779.697287996	43779.697287996	13000481418
2023-12-11	BTC-USD.CC	d	43792.017858365	43808.373055668	40234.578334533	41243.833314624	41243.833314624	40632672038
2023-12-12	BTC-USD.CC	d	41238.733389975	42048.303781857	40667.561850958	41450.222190466	41450.222190466	24779520132
2023-12-13	BTC-USD.CC	d	41468.465862096	43429.780621334	40676.868161239	42890.74073359	42890.74073359	26797884674
2023-12-14	BTC-USD.CC	d	42884.262691725	43390.860373502	41767.090540124	43023.971974193	43023.971974193	25578530178
2023-12-15	BTC-USD.CC	d	43028.250690527	43087.823772867	41692.968038325	41929.758392901	41929.758392901	19639442462
2023-12-16	BTC-USD.CC	d	41937.740968004	42664.945135556	41723.113466241	42240.11908205	42240.11908205	14386729590
2023-12-17	BTC-USD.CC	d	42236.108344913	42359.496119085	41274.543517885	41364.665918237	41364.665918237	16678702876
2023-12-18	BTC-USD.CC	d	41348.202089157	42720.297127229	40530.258519288	42623.538325028	42623.538325028	25224642008
2023-12-19	BTC-USD.CC	d	42641.510213261	43354.296596512	41826.335151688	42270.526139511	42270.526139511	23171001281
2023-12-20	BTC-USD.CC	d	42261.300138646	44275.587512481	42223.81786147	43652.248668018	43652.248668018	27868908174
2023-12-21	BTC-USD.CC	d	43648.12493063	44240.669127812	43330.052646383	43869.150856994	43869.150856994	22452766169
2023-12-22	BTC-USD.CC	d	43868.986422356	44367.955771784	43441.967952302	43997.901409955	43997.901409955	21028503216
2023-12-23	BTC-USD.CC	d	44012.198632073	44015.698641134	43351.355701981	43739.542137223	43739.542137223	13507796558
2023-12-24	BTC-USD.CC	d	43728.365989689	43945.521561541	42786.917855628	43016.117621183	43016.117621183	18830554085
2023-12-25	BTC-USD.CC	d	43010.572920533	43765.092143476	42765.771139054	43613.142084662	43613.142084662	21115795370
2023-12-26	BTC-USD.CC	d	43599.847590419	43603.175441666	41676.489968457	42520.401511269	42520.401511269	30026850982
2023-12-27	BTC-USD.CC	d	42518.468528092	43683.159808131	42167.58348639	43442.854558232	43442.854558232	25260941032
2023-12-28	BTC-USD.CC	d	43468.198062674	43804.781417576	42318.548861904	42627.853531368	42627.853531368	22992093014
2023-12-29	BTC-USD.CC	d	42614.643892424	43124.325859713	41424.060641149	42099.40280858	42099.40280858	26000021055
2023-12-30	BTC-USD.CC	d	42091.752643678	42584.123639534	41556.225992296	42156.901149764	42156.901149764	16013925945
2023-12-31	BTC-USD.CC	d	42152.098453516	42860.937391784	41998.255345687	42265.185654866	42265.185654866	16397498810
2024-01-01	BTC-USD.CC	d	42280.235276192	44175.436052517	42214.976754631	44167.330214077	44167.330214077	18426978443
2024-01-02	BTC-USD.CC	d	44187.139039488	45899.70635459	44176.950442724	44957.970054142	44957.970054142	39335274536
2024-01-03	BTC-USD.CC	d	44961.603186803	45503.241794949	40813.534868167	42848.175640965	42848.175640965	46342323118
2024-01-04	BTC-USD.CC	d	42855.814761359	44770.023413751	42675.174006958	44179.921700827	44179.921700827	30448091210
2024-01-05	BTC-USD.CC	d	44192.978698772	44353.285859299	42784.718265907	44162.691630227	44162.691630227	32336029347
2024-01-06	BTC-USD.CC	d	44178.954606844	44227.631307279	43475.156430587	43989.194093457	43989.194093457	16092503468
2024-01-07	BTC-USD.CC	d	43998.464242563	44495.571470777	43662.228627079	43943.097228969	43943.097228969	19330573863
2024-01-08	BTC-USD.CC	d	43948.706955309	47218.001125001	43244.081606189	46970.50231449	46970.50231449	42746192015
2024-01-09	BTC-USD.CC	d	46987.638741009	47893.701008309	45244.715148045	46139.730374853	46139.730374853	39821290992
2024-01-10	BTC-USD.CC	d	46121.539824671	47647.22098532	44483.150861211	46627.779111961	46627.779111961	50114613298
2024-01-11	BTC-USD.CC	d	46656.073083966	48969.37139953	45678.645397764	46368.585382019	46368.585382019	45833734549
2024-01-12	BTC-USD.CC	d	46354.793188001	46498.134821158	41903.770750755	42853.166658062	42853.166658062	43332698900
2024-01-13	BTC-USD.CC	d	42799.446487782	43234.661777199	42464.143203822	42842.382191236	42842.382191236	20601860469
2024-01-14	BTC-USD.CC	d	42842.263665225	43065.598852106	41724.613724591	41796.269606425	41796.269606425	17521429522
2024-01-15	BTC-USD.CC	d	41715.066527458	43319.721183234	41705.418327775	42511.967720331	42511.967720331	22320220558
2024-01-16	BTC-USD.CC	d	42499.337536169	43566.274923519	42085.996028004	43154.944234382	43154.944234382	24062872740

